tweet_id,tweet,sentiment
1701,sxswnui sxsw apple defining language touch different dialects becoming smaller,1
1851,learning google doodles doodles light funny innovative exceptions significant occasions googledoodle sxsw,1
2689,one -your-face stealing show years sxsw apple schools market experts link,2
4525,iphone sxsw app would pretty awesome crash every 10mins extended browsing fuckit illmakeitwork,0
3604,line outside apple store austin waiting new ipad sxsw link,1
966,technews one lone dude awaits ipad apple sxsw store link tech_news apple ipad_2 sxsw tablets tech,1
1395,sxsw tips prince npr videos toy shopping zuckerberg link sxsw ipad,1
8182,user new ubersocial iphone app store includes uberguide sxsw sponsored mashable,1
8835,free sxsw sampler itunes link freemusic,2
883,think might weekend without seeing ipad case twice.. sxsw,2
6398,official sxsw app sxsw bit./hmiiga android iphone ipad,3
2369,official buying ipad sxsw elevate,2
3944,giving away ipad boxes books sxsw techenvy,2
6909,officially sxsw come grill mention zazzlsxsw get make iphone case,1
7917,companies watch sxsw trade show floor link apps features hardware ipad iphone,1
5849,google marissa mayer future location augmented reality contextual discovery make smartphones smarter sxsw,1
1955,calyp app get calyp casa sxsw free mobile app available itunes app store android market see,1
1472,well yeah music iphone nerds god cute girls everywhere.. love interactive ends music begins sxsw,2
4730,apple opens pop store sxsw link via apple ipad2 technology itunes sxsw,1
2166,atleast sxsw ipad doubleloser,1
3497,cue choir music sxsw apple store sxsw link,1
165,anyone sxsw want ipad line pick one someone willing pay grab,1
1352,__ __ __ .. google launch major new social network called circles possibly today link sxsw,2
6431,.. google throw tchin party shout spazmatics sxsw,2
634,iphone hrs tweeting rise_austin dead need upgrade plugin stations sxsw,0
4544,anyone know google talk circles sxsw,1
568,google set launch new social network circles today sxsw,1
775,google launch major new social network called circles possibly today link sxsw,1
5368,standing long line surrounded unemployed techies brooklyn sxsw apple store 5th ave waiting ipad,3
3087,wow *something ventured* kick ass film.. google blekko details good choice sxsw startups movie awesome,1
5398,ipad djs need one 3am tuesday- douche bags need apply- sxsw,1
2491,packed many apple devices alarm set :15am see sxsw psyched meet finally many guys,2
1993,check offers google cool link sxsw,2
6275,looks interesting google launch major new social network called circles possibly today link sxsw,2
1178,went whole day /out laptop used ipad things missed ftp cloudapp fast typing skype ipad sxsw,0
3628,find stupid stupid game ipad currently special sxsw sale link,1
328,overheard sxsw google launch products people events,1
7112,mayer people drive 12bn+ miles year using google maps navigation whither sat nav sxsw,1
5838,google launches geo-social 'offers sxsw link deferomobile,1
6895,giving away shiny ipad sxsw quotables simply sign entered automatically link ipad2 sxsw,1
3550,heard downtown location sold merchandise last night sxsw apple ipad2,1
885,bummed miss sxsw year quarantined kiddie cold garageband ipad comfort,2
2007,lonely planet made austin guide free sxsw grab never know need link,1
8697,sxsw groupme says going global first adds new social features link android iphone sms stevemartocci sxsw,1
2989,time warner cable roll ipad app live march link entry friends house sxsw,1
8312,sxsw post-mobile social party link via could win photography gear ipad,1
5537,awesome new version iphone new web site coming sxsw want demo meet sxsw pls,2
1569,download let one sweet link love vid via sxsw,1
1415,nice move apple set open popup shop core sxsw action link,2
8983,motley fool google prepares fight facebook circles may appeared sxsw way link,1
5058,'google lost way caring much business users psych sxsw,0
