,tweet_id,tweet,sentiment
0,1701,"['sxswnui', 'sxsw', 'apple', 'defining', 'language', 'touch', 'different', 'dialects', 'becoming', 'smaller']",1
1,1851,"['learning', 'google', 'doodles', 'doodles', 'light', 'funny', 'innovative', 'exceptions', 'significant', 'occasions', 'googledoodle', 'sxsw']",1
2,2689,"['one', '-your-face', 'stealing', 'show', 'years', 'sxsw', 'apple', 'schools', 'market', 'experts', ""''"", 'link']",2
3,4525,"['iphone', 'sxsw', 'app', 'would', 'pretty', 'awesome', 'crash', 'every', '10mins', 'extended', 'browsing', 'fuckit', 'illmakeitwork']",0
4,3604,"['line', 'outside', 'apple', 'store', 'austin', 'waiting', 'new', 'ipad', 'sxsw', 'link']",1
5,966,"['technews', 'one', 'lone', 'dude', 'awaits', 'ipad', 'apple', 'sxsw', 'store', 'link', 'tech_news', 'apple', 'ipad_2', 'sxsw', 'tablets', 'tech']",1
6,1395,"['sxsw', 'tips', 'prince', 'npr', 'videos', 'toy', 'shopping', 'zuckerberg', 'link', 'sxsw', 'ipad']",1
7,8182,"['user', 'new', 'ubersocial', 'iphone', 'app', 'store', 'includes', 'uberguide', 'sxsw', 'sponsored', 'mashable']",1
8,8835,"['free', 'sxsw', 'sampler', 'itunes', 'link', 'freemusic']",2
9,883,"['think', 'might', 'weekend', 'without', 'seeing', 'ipad', 'case', 'twice..', 'sxsw']",2
10,6398,"['official', 'sxsw', 'app', 'sxsw', 'bit./hmiiga', 'android', 'iphone', 'ipad']",3
11,2369,"['official', 'buying', 'ipad', 'sxsw', 'elevate']",2
12,3944,"['giving', 'away', 'ipad', 'boxes', 'books', 'sxsw', 'techenvy']",2
13,6909,"['officially', 'sxsw', 'come', 'grill', 'mention', 'zazzlsxsw', 'get', 'make', 'iphone', 'case']",1
14,7917,"['companies', 'watch', 'sxsw', 'trade', 'show', 'floor', 'link', 'apps', 'features', 'hardware', 'ipad', 'iphone']",1
15,5849,"['google', 'marissa', 'mayer', 'future', 'location', 'augmented', 'reality', 'contextual', 'discovery', 'make', 'smartphones', 'smarter', 'sxsw']",1
16,1955,"['calyp', 'app', 'get', 'calyp', 'casa', 'sxsw', 'free', 'mobile', 'app', 'available', 'itunes', 'app', 'store', 'android', 'market', 'see']",1
17,1472,"['well', 'yeah', 'music', 'iphone', 'nerds', 'god', 'cute', 'girls', 'everywhere..', 'love', 'interactive', 'ends', 'music', 'begins', 'sxsw']",2
