tweet_id,tweet,sentiment
1701,sxswnui sxsw apple defining language touch different dialect becoming smaller,1
1851,learning google doodle doodle light funny innovative exception significant occasion googledoodle sxsw,1
2689,one -your-face stealing show year sxsw apple school market expert link,2
4525,iphone sxsw app would pretty awesome crash every 10mins extended browsing fuckit illmakeitwork,0
3604,line outside apple store austin waiting new ipad sxsw link,1
966,technews one lone dude awaits ipad apple sxsw store link tech_news apple ipad_2 sxsw tablet tech,1
1395,sxsw tip prince npr video toy shopping zuckerberg link sxsw ipad,1
8182,user new ubersocial iphone app store includes uberguide sxsw sponsored mashable,1
8835,free sxsw sampler itunes link freemusic,2
883,think might weekend without seeing ipad case twice.. sxsw,2
6398,official sxsw app sxsw bit./hmiiga android iphone ipad,3
2369,official buying ipad sxsw elevate,2
3944,giving away ipad box book sxsw techenvy,2
6909,officially sxsw come grill mention zazzlsxsw get make iphone case,1
7917,company watch sxsw trade show floor link apps feature hardware ipad iphone,1
5849,google marissa mayer future location augmented reality contextual discovery make smartphones smarter sxsw,1
1955,calyp app get calyp casa sxsw free mobile app available itunes app store android market see,1
1472,well yeah music iphone nerd god cute girl everywhere.. love interactive end music begin sxsw,2
4730,apple open pop store sxsw link via apple ipad2 technology itunes sxsw,1
2166,atleast sxsw ipad doubleloser,1
3497,cue choir music sxsw apple store sxsw link,1
165,anyone sxsw want ipad line pick one someone willing pay grab,1
1352,__ __ __ .. google launch major new social network called circle possibly today link sxsw,2
6431,.. google throw tchin party shout spazmatics sxsw,2
634,iphone hr tweeting rise_austin dead need upgrade plugin station sxsw,0
4544,anyone know google talk circle sxsw,1
568,google set launch new social network circle today sxsw,1
775,google launch major new social network called circle possibly today link sxsw,1
5368,standing long line surrounded unemployed techie brooklyn sxsw apple store 5th ave waiting ipad,3
3087,wow *something ventured* kick as film.. google blekko detail good choice sxsw startup movie awesome,1
5398,ipad dj need one 3am tuesday- douche bag need apply- sxsw,1
2491,packed many apple device alarm set :15am see sxsw psyched meet finally many guy,2
1993,check offer google cool link sxsw,2
6275,look interesting google launch major new social network called circle possibly today link sxsw,2
1178,went whole day /out laptop used ipad thing missed ftp cloudapp fast typing skype ipad sxsw,0
3628,find stupid stupid game ipad currently special sxsw sale link,1
328,overheard sxsw google launch product people event,1
7112,mayer people drive 12bn+ mile year using google map navigation whither sat nav sxsw,1
5838,google launch geo-social 'offers sxsw link deferomobile,1
6895,giving away shiny ipad sxsw quotables simply sign entered automatically link ipad2 sxsw,1
3550,heard downtown location sold merchandise last night sxsw apple ipad2,1
885,bummed miss sxsw year quarantined kiddie cold garageband ipad comfort,2
2007,lonely planet made austin guide free sxsw grab never know need link,1
8697,sxsw groupme say going global first add new social feature link android iphone sm stevemartocci sxsw,1
2989,time warner cable roll ipad app live march link entry friend house sxsw,1
8312,sxsw post-mobile social party link via could win photography gear ipad,1
5537,awesome new version iphone new web site coming sxsw want demo meet sxsw pls,2
1569,download let one sweet link love vid via sxsw,1
1415,nice move apple set open popup shop core sxsw action link,2
8983,motley fool google prepares fight facebook circle may appeared sxsw way link,1
5058,'google lost way caring much business user psych sxsw,0
6831,update recco link sxsw panels/parties def good time follow friend newbie,1
579,google launch major new social network called circle possibly today link sxsw dejavu,1
1666,seen one ipad sxsw far audience member raise ipad,1
1843,rumor.. google launch major new social network called circle possibly today link sxsw,1
529,tessie frontwoman intimate stranger ink painful place get ink respect location link sxsw,1
3760,future contextual discovery nice way articulating intersection social mobile search sxsw,1
7433,google reportedly unveil new social network called circle likely launch may link googlecircles googleme sxsw,1
2522,sxsw tradeshow floor engage multi-touch interactive wall take part augmented reality enter win ipad,1
3484,sxsw fashion essential photo iphone,1
7372,awesome iphone charging locker registrant lounge sxsw link,2
1488,brilliant.. hope plenty ipads.. apple open pop- shop sxsw report link sxsw,2
3967,launchrock vencorps want give 30k best startup sxsw link,1
2435,composed tweet acerbic cynical ipad user phone crashed dumped apps twitterpower sxsw imthatgood,0
6087,sxsw taught anything want ipad dont know,2
4542,anyone news sxsw ipad must-have course link,2
624,-minus hour social medium maven start performing degrading sex act iphone charge sxsw,1
3404,haha iphone sxsw,1
3850,talk mistake made building netflix iphone sxsw netflixiphone,0
1804,say booth tradeshow waffling ipad portion rep dressed crazy character sxsw,1
2937,ipad2 apple store sxsw photo thanks link,1
4855,google launch major new social network called circle possibly today link sxsw,1
2417,bjdproductions apple opening pop- store austin sxsw geekfest apple link tech,1
3536,thought path iphone photo app sxsw iphoneography mobilephotography,1
1779,heck /being sick apple supposedly setting mini-store sxsw feeling plan,1
6129,line might well popup apple store austin sxsw ipad2,1
489,4sq see facebook google competition via checkins sxsw,1
2296,google lab fusion table made election day foursquare visualization possible sxsw,2
3269,tech lightbox_photos want new android camera app sxsw sad although android adoption .. link technology,2
4274,google marissa mayer location-based 'fast fun future link sxsw sxswi,2
180,"spent ,00+ come sxsw already used ipad wait couple city block ipad2 sxsw link",0
4711,nothing quite like sxsw make want ipad desperately almost drooling guy next,2
51,link -- help forward doc anonymous account techie people help jam libya sxsw,1
5252,social important google screw big launch circus link via sxsw,1
7204,thought people spent lot time staring iphone last year sxsw ..just wait,1
4583,google new social network circle announced today sxsw,1
7077,apple open pop- shop sxsw report link sxsw,1
5399,ipad2 left apple store sxsw anyone know smiling,1
1438,new ubersocial iphone app store includes uberguide sxsw sponsored mashable link,1
6541,google set launch new social network circle today sxsw,1
7456,cunning apple keeping ipad2 popup store open late next sxsw party impulsive late night purchase regret here..,2
7792,n22 opportunity knock link code valid :59p // infektd sxsw necro,1
8178,lazers display tonite link gsdm google industry party link sxsw,1
4469,correction cab driver well prepared sxsw got laptop blackberry iphone dashboard got regular cell,1
8016,sxsw fmsignal marissa mayer google announces check in interview john battelle link,1
2339,sxsw enchantment like saying please register google hahah,1
6615,tweet register exclusive pass event party ipad sxsw liberty and/ free sxswpass,1
680,tim soo invisible instrument jaw dropping iphone+wii controller link lovemusicapi sxsw,2
6669,appears apple opening pop store austin sxsw employee trying hide beechwood table gave away,1
6034,horror story woman tech link sxsw 9to5,1
5755,full sxsw touchingstories presentation link,1
4671,listening 'congo ipanemas via discovr app iphone link live sxsw,1
8772,eventful day earthquake tsunami ipad plus sxsw.. link,1
6127,ipad design headache take two tablet call panel excited hear live sxsw,1
8850,tired waiting line store best buy austin announces ipad2 sale today sxswinfo sxsw,1
4806,smart entrepreneur would set -line consignment shop help sell outdated ipad1 unit sxsw link,1
1607,walked industry party gsdm google austin sxsw,1
704,check iphone developer meet sxsw link sxsw,2
828,google launching social network definitely sxsw rumor still .. link googlecircles,1
7262,anyone know sxsw apple store still ipads,1
3749,good point love sxsw apple come cool technology conference,2
4658,apple opening downtown austin pop store sxsw even begin apple win sxsw link,2
8426,chance buy ipad sxsw unless already got one way,1
8099,start google doodle burning man pac-man beyond let ser get new idea sapo sxsw,1
5174,everyone already one anti-theft protection leave laptop ipad get latte sxsw,1
8330,lotta hipster could meet guy fedora ipad assistant stage sxsw,1
7152,tech even begin apple win sxsw link,2
