tweet_id,tweet,sentiment
1701,sxswnui sxsw appl defin languag touch differ dialect becom smaller,1
1851,learn googl doodl doodl light funni innov except signific occas googledoodl sxsw,1
2689,one -your-fac steal show year sxsw appl school market expert link,2
4525,iphon sxsw app would pretti awesom crash everi 10min extend brows fuckit illmakeitwork,0
3604,line outsid appl store austin wait new ipad sxsw link,1
966,technew one lone dude await ipad appl sxsw store link tech_new appl ipad_2 sxsw tablet tech,1
1395,sxsw tip princ npr video toy shop zuckerberg link sxsw ipad,1
8182,user new ubersoci iphon app store includ uberguid sxsw sponsor mashabl,1
8835,free sxsw sampler itun link freemus,2
883,think might weekend without see ipad case twice.. sxsw,2
6398,offici sxsw app sxsw bit./hmiiga android iphon ipad,3
2369,offici buy ipad sxsw elev,2
3944,give away ipad box book sxsw techenvi,2
6909,offici sxsw come grill mention zazzlsxsw get make iphon case,1
7917,compani watch sxsw trade show floor link app featur hardwar ipad iphon,1
5849,googl marissa mayer futur locat augment realiti contextu discoveri make smartphon smarter sxsw,1
1955,calyp app get calyp casa sxsw free mobil app avail itun app store android market see,1
1472,well yeah music iphon nerd god cute girl everywhere.. love interact end music begin sxsw,2
4730,appl open pop store sxsw link via appl ipad2 technolog itun sxsw,1
2166,atleast sxsw ipad doublelos,1
3497,cue choir music sxsw appl store sxsw link,1
165,anyon sxsw want ipad line pick one someon will pay grab,1
1352,__ __ __ .. googl launch major new social network call circl possibl today link sxsw,2
6431,.. googl throw tchin parti shout spazmat sxsw,2
634,iphon hr tweet rise_austin dead need upgrad plugin station sxsw,0
4544,anyon know googl talk circl sxsw,1
568,googl set launch new social network circl today sxsw,1
775,googl launch major new social network call circl possibl today link sxsw,1
5368,stand long line surround unemploy techi brooklyn sxsw appl store 5th ave wait ipad,3
3087,wow *someth ventured* kick ass film.. googl blekko detail good choic sxsw startup movi awesom,1
5398,ipad dj need one 3am tuesday- douch bag need apply- sxsw,1
2491,pack mani appl devic alarm set :15am see sxsw psych meet final mani guy,2
1993,check offer googl cool link sxsw,2
6275,look interest googl launch major new social network call circl possibl today link sxsw,2
1178,went whole day /out laptop use ipad thing miss ftp cloudapp fast type skype ipad sxsw,0
3628,find stupid stupid game ipad current special sxsw sale link,1
328,overheard sxsw googl launch product peopl event,1
7112,mayer peopl drive 12bn+ mile year use googl map navig whither sat nav sxsw,1
5838,googl launch geo-soci 'offer sxsw link deferomobil,1
6895,give away shini ipad sxsw quotabl simpli sign enter automat link ipad2 sxsw,1
3550,heard downtown locat sold merchandis last night sxsw appl ipad2,1
885,bum miss sxsw year quarantin kiddi cold garageband ipad comfort,2
2007,lone planet made austin guid free sxsw grab never know need link,1
8697,sxsw groupm say go global first add new social featur link android iphon sm stevemartocci sxsw,1
2989,time warner cabl roll ipad app live march link entri friend hous sxsw,1
8312,sxsw post-mobil social parti link via could win photographi gear ipad,1
5537,awesom new version iphon new web site come sxsw want demo meet sxsw pl,2
1569,download let one sweet link love vid via sxsw,1
1415,nice move appl set open popup shop core sxsw action link,2
8983,motley fool googl prepar fight facebook circl may appear sxsw way link,1
5058,'googl lost way care much busi user psych sxsw,0
6831,updat recco link sxsw panels/parti def good time follow friend newbi,1
579,googl launch major new social network call circl possibl today link sxsw dejavu,1
1666,seen one ipad sxsw far audienc member rais ipad,1
1843,rumor.. googl launch major new social network call circl possibl today link sxsw,1
529,tessi frontwoman intim stranger ink pain place get ink respect locat link sxsw,1
3760,futur contextu discoveri nice way articul intersect social mobil search sxsw,1
7433,googl reportedli unveil new social network call circl like launch may link googlecircl googlem sxsw,1
2522,sxsw tradeshow floor engag multi-touch interact wall take part augment realiti enter win ipad,1
3484,sxsw fashion essenti photo iphon,1
7372,awesom iphon charg locker registr loung sxsw link,2
1488,brilliant.. hope plenti ipads.. appl open pop- shop sxsw report link sxsw,2
3967,launchrock vencorp want give 30k best startup sxsw link,1
2435,compos tweet acerb cynic ipad user phone crash dump app twitterpow sxsw imthatgood,0
6087,sxsw taught anyth want ipad dont know,2
4542,anyon news sxsw ipad must-hav cours link,2
624,-minu hour social media maven start perform degrad sex act iphon charg sxsw,1
3404,haha iphon sxsw,1
3850,talk mistak made build netflix iphon sxsw netflixiphon,0
1804,say booth tradeshow waffl ipad portion rep dress crazi charact sxsw,1
2937,ipad2 appl store sxsw photo thank link,1
4855,googl launch major new social network call circl possibl today link sxsw,1
2417,bjdproduct appl open pop- store austin sxsw geekfest appl link tech,1
3536,thought path iphon photo app sxsw iphoneographi mobilephotographi,1
1779,heck /be sick appl supposedli set mini-stor sxsw feel plan,1
6129,line might well popup appl store austin sxsw ipad2,1
489,4sq see facebook googl competit via checkin sxsw,1
2296,googl lab fusion tabl made elect day foursquar visual possibl sxsw,2
