tweet_id,tweet,sentiment
1701,sxswnui sxsw apple defining language touch with different dialects becoming smaller,1
1851,learning about google doodles all doodles should light funny innovative with exceptions for significant occasions googledoodle sxsw,1
2689,one the most -your-face stealing the show years sxsw apple schools the market experts link,2
4525,this iphone sxsw app would pretty awesome didn crash every 10mins during extended browsing fuckit illmakeitwork,0
3604,line outside the apple store austin waiting for the new ipad sxsw link,1
966,technews one lone dude awaits ipad apple sxsw store link tech_news apple ipad_2 sxsw tablets tech,1
1395,sxsw tips prince npr videos toy shopping with zuckerberg link sxsw ipad,1
8182,user new ubersocial for iphone now the app store includes uberguide sxsw sponsored mashable,1
8835,free sxsw sampler itunes link freemusic,2
883,think might all weekend without seeing the same ipad case twice.. sxsw,2
6398,official sxsw app sxsw bit./hmiiga android iphone ipad,3
2369,official buying ipad sxsw elevate,2
3944,they giving away ipad boxes and books sxsw techenvy,2
6909,officially sxsw come the grill mention zazzlsxsw and you get make your own iphone case,1
7917,companies watch from the sxsw trade show floor link apps features hardware ipad iphone,1
5849,google marissa mayer future location augmented reality contextual discovery make smartphones smarter sxsw,1
1955,the calyp app get into calyp casa sxsw the free mobile app available itunes app store android market see you there,1
1472,well yeah music iphone nerds god cute girls everywhere.. love when interactive ends and music begins sxsw,2
4730,apple opens pop store sxsw link via apple ipad2 technology itunes sxsw,1
2166,atleast you are sxsw not there and have ipad doubleloser,1
3497,cue the choir music sxsw apple store sxsw link,1
165,anyone sxsw want ipad line and will pick one for someone willing pay for grab for you,1
1352,__ __ __ .. google launch major new social network called circles possibly today link sxsw,2
6431,.. and google throw tchin party shout out the spazmatics sxsw,2
634,have iphone after hrs tweeting rise_austin was dead need upgrade plugin stations sxsw,0
4544,does anyone know google did talk about circles sxsw,1
568,google set launch new social network circles today sxsw,1
775,google launch major new social network called circles possibly today link sxsw,1
5368,standing long line surrounded unemployed techies from brooklyn sxsw the apple store 5th ave waiting for ipad,3
3087,wow *something ventured* was kick ass film.. google blekko for details good choice sxsw startups movie awesome,1
